iteration,susceptible,infected,recovered
0,3597,3,0
1,3591,9,0
2,3584,16,0
3,3575,24,1
4,3561,38,1
5,3543,55,2
6,3526,70,4
7,3503,91,6
8,3479,109,12
9,3446,138,16
10,3402,174,24
11,3359,202,39
12,3312,239,49
13,3261,273,66
14,3205,303,92
15,3144,336,120
16,3078,375,147
17,3020,397,183
18,2954,428,218
19,2883,452,265
20,2799,489,312
21,2709,533,358
22,2607,581,412
23,2521,608,471
24,2414,663,523
25,2324,685,591
26,2214,730,656
27,2108,770,722
28,1995,796,809
29,1883,845,872
30,1768,879,953
31,1643,914,1043
32,1526,933,1141
33,1393,990,1217
34,1247,1035,1318
35,1112,1083,1405
36,996,1094,1510
37,875,1119,1606
38,763,1135,1702
39,650,1154,1796
40,562,1152,1886
41,505,1119,1976
42,469,1072,2059
43,447,995,2158
44,450,913,2237
45,442,864,2294
46,442,776,2382
47,460,700,2440
48,502,619,2479
49,537,553,2510
50,596,482,2522
51,655,405,2540
52,721,337,2542
53,807,278,2515
54,868,219,2513
55,947,182,2471
56,1031,160,2409
57,1120,127,2353
58,1193,111,2296
59,1279,109,2212
60,1354,105,2141
61,1438,124,2038
62,1506,151,1943
63,1582,180,1838
64,1663,208,1729
65,1728,251,1621
66,1789,290,1521
67,1850,320,1430
68,1926,357,1317
69,1979,408,1213
70,2012,437,1151
71,2073,467,1060
72,2108,505,987
73,2121,542,937
74,2119,577,904
75,2102,614,884
76,2091,652,857
77,2048,678,874
78,2008,713,879
79,1973,730,897
80,1906,783,911
81,1819,821,960
82,1740,870,990
83,1626,931,1043
84,1506,988,1106
85,1387,1039,1174
86,1260,1063,1277
87,1144,1090,1366
88,1033,1093,1474
89,920,1096,1584
90,793,1107,1700
91,686,1118,1796
92,601,1111,1888
93,518,1095,1987
94,446,1089,2065
95,412,1047,2141
96,382,992,2226
97,366,923,2311
98,367,833,2400
99,385,745,2470
100,422,654,2524
101,458,559,2583
102,532,487,2581
103,590,433,2577
104,661,370,2569
105,701,324,2575
106,761,296,2543
107,819,255,2526
108,869,237,2494
109,930,215,2455
110,998,207,2395
111,1085,221,2294
112,1155,224,2221
113,1235,237,2128
114,1316,253,2031
115,1397,276,1927
116,1461,301,1838
117,1523,327,1750
118,1583,369,1648
119,1626,396,1578
120,1689,406,1505
121,1744,428,1428
122,1779,474,1347
123,1840,499,1261
124,1877,540,1183
125,1910,570,1120
126,1919,613,1068
127,1888,677,1035
128,1835,734,1031
129,1774,803,1023
130,1705,859,1036
131,1634,893,1073
132,1554,944,1102
133,1472,987,1141
134,1369,1030,1201
135,1262,1082,1256
136,1119,1133,1348
137,1006,1165,1429
138,877,1193,1530
139,740,1223,1637
140,633,1228,1739
141,549,1221,1830
142,487,1163,1950
143,426,1128,2046
144,377,1089,2134
145,358,985,2257
146,359,910,2331
147,368,812,2420
148,390,724,2486
149,412,623,2565
150,451,529,2620
151,510,440,2650
152,557,374,2669
153,615,306,2679
154,678,247,2675
155,751,197,2652
156,835,152,2613
157,921,127,2552
158,1006,94,2500
159,1111,72,2417
160,1197,58,2345
161,1308,42,2250
162,1416,24,2160
163,1540,15,2045
164,1671,9,1920
165,1795,7,1798
166,1909,3,1688
167,2058,5,1537
168,2168,9,1423
169,2279,16,1305
170,2438,24,1138
171,2553,33,1014
172,2669,48,883
173,2764,66,770
174,2865,82,653
175,2944,107,549
176,3006,131,463
177,3038,154,408
178,3074,174,352
179,3089,203,308
180,3096,224,280
181,3080,273,247
182,3039,322,239
183,3010,354,236
184,2966,378,256
185,2910,414,276
186,2846,465,289
187,2771,514,315
188,2696,561,343
189,2600,602,398
190,2493,663,444
191,2399,715,486
192,2302,746,552
193,2197,786,617
194,2065,846,689
195,1936,900,764
196,1826,927,847
197,1703,935,962
198,1568,988,1044
199,1424,1031,1145
200,1283,1066,1251
201,1155,1085,1360
202,1028,1106,1466
203,902,1129,1569
204,804,1131,1665
205,703,1120,1777
206,611,1102,1887
207,542,1068,1990
208,501,1029,2070
209,470,987,2143
210,454,908,2238
211,432,855,2313
212,426,779,2395
213,431,708,2461
214,463,640,2497
215,490,562,2548
216,512,516,2572
217,569,444,2587
218,627,380,2593
219,693,324,2583
220,767,261,2572
221,851,208,2541
222,967,177,2456
223,1053,145,2402
224,1158,113,2329
225,1266,91,2243
226,1382,69,2149
227,1502,47,2051
228,1617,36,1947
229,1728,28,1844
230,1862,22,1716
231,1984,18,1598
232,2104,13,1483
233,2214,7,1379
234,2329,4,1267
235,2459,3,1138
236,2563,3,1034
237,2689,3,908
238,2792,1,807
239,2889,1,710
240,2988,0,612
