iteration,susceptible,infected,recovered
0,3596,4,0
1,3593,7,0
2,3588,11,1
3,3583,15,2
4,3577,19,4
5,3571,25,4
6,3559,36,5
7,3552,41,7
8,3539,51,10
9,3525,60,15
10,3518,62,20
11,3502,70,28
12,3487,79,34
13,3472,85,43
14,3454,94,52
15,3436,103,61
16,3421,113,66
17,3407,114,79
18,3387,129,84
19,3363,139,98
20,3342,147,111
21,3317,158,125
22,3301,159,140
23,3277,167,156
24,3252,173,175
25,3232,180,188
26,3204,183,213
27,3176,187,237
28,3153,194,253
29,3120,209,271
30,3089,223,288
31,3059,230,311
32,3024,241,335
33,2986,259,355
34,2949,276,375
35,2919,287,394
36,2883,301,416
37,2849,317,434
38,2821,320,459
39,2787,338,475
40,2757,344,499
41,2710,366,524
42,2667,389,544
43,2631,389,580
44,2600,398,602
45,2558,403,639
46,2526,409,665
47,2501,405,694
48,2465,416,719
49,2435,420,745
50,2408,403,789
51,2376,418,806
52,2336,440,824
53,2299,440,861
54,2254,468,878
55,2215,478,907
56,2187,482,931
57,2156,491,953
58,2123,489,988
59,2088,494,1018
60,2047,489,1064
61,2011,506,1083
62,1959,522,1119
63,1939,527,1134
64,1898,545,1157
65,1863,547,1190
66,1822,557,1221
67,1777,570,1253
68,1747,597,1256
69,1698,630,1272
70,1683,626,1291
71,1654,611,1335
72,1633,616,1351
73,1614,610,1376
74,1592,605,1403
75,1594,582,1424
76,1585,561,1454
77,1582,541,1477
78,1592,511,1497
79,1586,484,1530
80,1605,448,1547
81,1612,423,1565
82,1626,391,1583
83,1655,359,1586
84,1683,344,1573
85,1720,328,1552
86,1739,323,1538
87,1782,303,1515
88,1809,289,1502
89,1831,272,1497
90,1882,250,1468
91,1930,232,1438
92,1974,224,1402
93,2003,208,1389
94,2044,192,1364
95,2101,177,1322
96,2172,169,1259
97,2223,160,1217
98,2276,155,1169
99,2339,150,1111
100,2409,140,1051
101,2479,124,997
102,2544,102,954
103,2616,85,899
104,2685,74,841
105,2747,63,790
106,2813,50,737
107,2879,46,675
108,2939,36,625
109,2981,31,588
110,3030,20,550
111,3062,19,519
112,3093,20,487
113,3125,20,455
114,3163,22,415
115,3193,27,380
116,3220,30,350
117,3243,34,323
118,3267,38,295
119,3283,47,270
120,3297,57,246
121,3305,66,229
122,3306,75,219
123,3310,78,212
124,3309,84,207
125,3312,95,193
126,3313,102,185
127,3317,111,172
128,3319,123,158
129,3307,131,162
130,3290,148,162
131,3277,161,162
132,3252,177,171
133,3232,184,184
134,3203,205,192
135,3180,219,201
136,3150,234,216
137,3117,250,233
138,3078,277,245
139,3038,290,272
140,3014,290,296
141,2970,307,323
142,2935,316,349
143,2888,330,382
144,2855,337,408
145,2812,349,439
146,2776,354,470
147,2740,356,504
148,2700,374,526
149,2653,402,545
150,2601,414,585
151,2565,409,626
152,2530,413,657
153,2490,412,698
154,2467,405,728
155,2423,418,759
156,2379,437,784
157,2343,452,805
158,2309,453,838
159,2262,466,872
160,2224,485,891
161,2176,493,931
162,2136,505,959
163,2089,522,989
164,2046,542,1012
165,2004,540,1056
166,1969,539,1092
167,1928,554,1118
168,1891,556,1153
169,1845,563,1192
170,1818,562,1220
171,1779,569,1252
172,1758,581,1261
173,1720,583,1297
174,1671,593,1336
175,1641,594,1365
176,1605,616,1379
177,1558,637,1405
178,1521,658,1421
179,1487,667,1446
180,1453,677,1470
181,1419,687,1494
182,1396,672,1532
183,1396,646,1558
184,1389,625,1586
185,1364,622,1614
186,1372,598,1630
187,1385,579,1636
188,1385,554,1661
189,1386,541,1673
190,1403,534,1663
191,1430,490,1680
192,1437,466,1697
193,1461,457,1682
194,1475,450,1675
195,1493,429,1678
196,1518,426,1656
197,1530,413,1657
198,1553,402,1645
199,1577,388,1635
200,1604,387,1609
201,1623,379,1598
202,1656,369,1575
203,1679,368,1553
204,1709,370,1521
205,1740,365,1495
206,1769,363,1468
207,1806,348,1446
208,1845,353,1402
209,1869,367,1364
210,1887,372,1341
211,1912,381,1307
212,1932,382,1286
213,1971,377,1252
214,1987,384,1229
215,1988,405,1207
216,2017,415,1168
217,2032,431,1137
218,2034,436,1130
219,2039,445,1116
220,2051,439,1110
221,2034,449,1117
222,2029,468,1103
223,2023,482,1095
224,2008,509,1083
225,1983,524,1093
226,1955,547,1098
227,1927,559,1114
228,1881,590,1129
229,1833,634,1133
230,1796,642,1162
231,1736,682,1182
232,1679,712,1209
233,1622,742,1236
234,1573,752,1275
235,1522,777,1301
236,1468,793,1339
237,1407,819,1374
238,1331,853,1416
239,1264,874,1462
240,1191,883,1526
241,1127,871,1602
242,1087,865,1648
243,1040,864,1696
244,989,876,1735
245,954,862,1784
246,922,861,1817
247,881,846,1873
248,849,823,1928
249,794,827,1979
250,775,790,2035
251,762,770,2068
252,752,751,2097
253,733,742,2125
254,707,722,2171
255,720,709,2171
256,712,672,2216
257,729,643,2228
258,732,628,2240
259,752,603,2245
260,771,566,2263
261,800,555,2245
262,820,532,2248
